"Invalid request.","Invalid request."
"Invalid Product.","Invalid Product."
"Unable to start personalization: template ID is empty.","Unable to start personalization: template ID is empty."
"Unable to start personalization: API response was empty.","Unable to start personalization: API response was empty."
"Unable to start personalization: ","Unable to start personalization: "
"Personalization error: product not found.","Personalization error: product not found."
"Personalization was not completed.","Personalization was not completed."
"Personalize","Personalize"
"Learn More","Learn More"
"Re-edit","Re-edit"
"PDF file","PDF file"